"sample","dab_name","count_dab","sample_group","count_pn","dab_to_pn_ratio","Loocation","Depth","Latitude","Longitude","SiO4","PO4","NO2","NO3","NH3","Temperature","Salinity","Dissolved.O2","Turbidity","Chlorophyl.a","year","Mn55.MR.","Fe56.MR.","Cd111.LR."
"VIO_6_5_RNA_1","DabD",0.00945,"2019",514.507781999996,1.83670691301615e-05,"JAKEMAN",40,"76.408569",-81.148126,2.26,0.44,0,0.01,0.23,-0.13759,31.144,372.69,0.85355,3.7184,2019,NA,NA,NA
"BL1_1","DabA",0.124827,"2021",783.517998000003,0.000159316059514436,"BELCHER",5,"75.656",-81.16348333,0.79,0.4,0.01,0.09,0,1.67604851,31.2474477,382.9705175,0.958994085,0.37694723,2021,NA,NA,NA
"BL1_1","DabB",0.026447,"2021",783.517998000003,3.37541703796317e-05,"BELCHER",5,"75.656",-81.16348333,0.79,0.4,0.01,0.09,0,1.67604851,31.2474477,382.9705175,0.958994085,0.37694723,2021,NA,NA,NA
"BL1_1","DabC",0.117905,"2021",783.517998000003,0.000150481546436665,"BELCHER",5,"75.656",-81.16348333,0.79,0.4,0.01,0.09,0,1.67604851,31.2474477,382.9705175,0.958994085,0.37694723,2021,NA,NA,NA
"BL1_1","DabD",0.013945,"2021",783.517998000003,1.77979319372316e-05,"BELCHER",5,"75.656",-81.16348333,0.79,0.4,0.01,0.09,0,1.67604851,31.2474477,382.9705175,0.958994085,0.37694723,2021,NA,NA,NA
"BL1_2","DabA",0.118249,"2021",1054.775681,0.000112108197155145,"BELCHER",30,"75.656",-81.16348333,0.95,0.4,0,0,0.02,0.963980472,31.80448603,382.7517175,0.880158395,2.598078179,2021,5.88,0.97,0.141
"BL1_2","DabB",0.006303,"2021",1054.775681,5.97567815938298e-06,"BELCHER",30,"75.656",-81.16348333,0.95,0.4,0,0,0.02,0.963980472,31.80448603,382.7517175,0.880158395,2.598078179,2021,5.88,0.97,0.141
"BL1_2","DabC",0.0717,"2021",1054.775681,6.7976538795456e-05,"BELCHER",30,"75.656",-81.16348333,0.95,0.4,0,0,0.02,0.963980472,31.80448603,382.7517175,0.880158395,2.598078179,2021,5.88,0.97,0.141
"BL1_2","DabD",0.009316,"2021",1054.775681,8.83220969900235e-06,"BELCHER",30,"75.656",-81.16348333,0.95,0.4,0,0,0.02,0.963980472,31.80448603,382.7517175,0.880158395,2.598078179,2021,5.88,0.97,0.141
"BL9_1","DabA",0.130338,"2021",457.908258,0.000284637801836716,"BELCHER",5,"75.66",-81.0006,0.64,0.39,0.02,0.52,0,0.820197463,31.02932757,376.0644794,0.681910536,0.703516749,2021,NA,NA,NA
"BL9_1","DabB",0.007721,"2021",457.908258,1.68614561216321e-05,"BELCHER",5,"75.66",-81.0006,0.64,0.39,0.02,0.52,0,0.820197463,31.02932757,376.0644794,0.681910536,0.703516749,2021,NA,NA,NA
"BL9_1","DabC",0.038854,"2021",457.908258,8.48510576544352e-05,"BELCHER",5,"75.66",-81.0006,0.64,0.39,0.02,0.52,0,0.820197463,31.02932757,376.0644794,0.681910536,0.703516749,2021,NA,NA,NA
"BL9_1","DabD",0.00508,"2021",457.908258,1.10939252814261e-05,"BELCHER",5,"75.66",-81.0006,0.64,0.39,0.02,0.52,0,0.820197463,31.02932757,376.0644794,0.681910536,0.703516749,2021,NA,NA,NA
"BL9_2","DabA",0.058529,"2021",1002.583149,5.83782004099891e-05,"BELCHER",30,"75.66",-81.0006,1.11,0.46,0,0.24,0.09,1.400756085,31.60568179,372.3810824,0.539160249,2.149383198,2021,5.79,0.76,0.149
"BL9_2","DabB",0,"2021",1002.583149,0,"BELCHER",30,"75.66",-81.0006,1.11,0.46,0,0.24,0.09,1.400756085,31.60568179,372.3810824,0.539160249,2.149383198,2021,5.79,0.76,0.149
"BL9_2","DabC",0.078621,"2021",1002.583149,7.84184335019179e-05,"BELCHER",30,"75.66",-81.0006,1.11,0.46,0,0.24,0.09,1.400756085,31.60568179,372.3810824,0.539160249,2.149383198,2021,5.79,0.76,0.149
"BL9_2","DabD",0.011615,"2021",1002.583149,1.15850740276106e-05,"BELCHER",30,"75.66",-81.0006,1.11,0.46,0,0.24,0.09,1.400756085,31.60568179,372.3810824,0.539160249,2.149383198,2021,5.79,0.76,0.149
"SV1_1","DabA",0.03146,"2021",2430.89376000001,1.29417420529311e-05,"SVERDRUP",5,"75.74925",-83.07601667,12.91,0.76,0.08,4.06,0.08,-0.226504413,32.39746098,359.0967218,2.005749327,3.812760787,2021,10.49,0.29,0.227
"SV1_1","DabB",0.00977,"2021",2430.89376000001,4.0190978975568e-06,"SVERDRUP",5,"75.74925",-83.07601667,12.91,0.76,0.08,4.06,0.08,-0.226504413,32.39746098,359.0967218,2.005749327,3.812760787,2021,10.49,0.29,0.227
"SV1_1","DabC",0.163713,"2021",2430.89376000001,6.73468346062146e-05,"SVERDRUP",5,"75.74925",-83.07601667,12.91,0.76,0.08,4.06,0.08,-0.226504413,32.39746098,359.0967218,2.005749327,3.812760787,2021,10.49,0.29,0.227
"SV1_1","DabD",0.016734,"2021",2430.89376000001,6.88388784214079e-06,"SVERDRUP",5,"75.74925",-83.07601667,12.91,0.76,0.08,4.06,0.08,-0.226504413,32.39746098,359.0967218,2.005749327,3.812760787,2021,10.49,0.29,0.227
"SV1_2","DabA",0.132546,"2021",1169.86706599999,0.000113300052503573,"SVERDRUP",18,"75.74925",-83.07601667,NA,0.96,0.08,7.18,0.21,-0.368605932,32.50181444,355.1005086,1.031134403,2.914853183,2021,9.6,0.17,0.231
"SV1_2","DabB",0.029492,"2021",1169.86706599999,2.52097019030026e-05,"SVERDRUP",18,"75.74925",-83.07601667,NA,0.96,0.08,7.18,0.21,-0.368605932,32.50181444,355.1005086,1.031134403,2.914853183,2021,9.6,0.17,0.231
"SV1_2","DabC",0.057865,"2021",1169.86706599999,4.94628848710581e-05,"SVERDRUP",18,"75.74925",-83.07601667,NA,0.96,0.08,7.18,0.21,-0.368605932,32.50181444,355.1005086,1.031134403,2.914853183,2021,9.6,0.17,0.231
"SV1_2","DabD",0.024459,"2021",1169.86706599999,2.09075036906802e-05,"SVERDRUP",18,"75.74925",-83.07601667,NA,0.96,0.08,7.18,0.21,-0.368605932,32.50181444,355.1005086,1.031134403,2.914853183,2021,9.6,0.17,0.231
"SV7_1","DabA",0.131404,"2021",2081.01576499998,6.31441636387608e-05,"SVERDRUP",15,"75.77286667",-83.12563333,2.64,0.42,0,0.07,0,-0.082590103,32.37541378,367.1909046,0.96181488,7.736162186,2021,12,0.58,0.156
"SV7_1","DabB",0.009998,"2021",2081.01576499998,4.80438455496279e-06,"SVERDRUP",15,"75.77286667",-83.12563333,2.64,0.42,0,0.07,0,-0.082590103,32.37541378,367.1909046,0.96181488,7.736162186,2021,12,0.58,0.156
"SV7_1","DabC",0.107046,"2021",2081.01576499998,5.14393027676082e-05,"SVERDRUP",15,"75.77286667",-83.12563333,2.64,0.42,0,0.07,0,-0.082590103,32.37541378,367.1909046,0.96181488,7.736162186,2021,12,0.58,0.156
"SV7_1","DabD",0.014437,"2021",2081.01576499998,6.93747747749528e-06,"SVERDRUP",15,"75.77286667",-83.12563333,2.64,0.42,0,0.07,0,-0.082590103,32.37541378,367.1909046,0.96181488,7.736162186,2021,12,0.58,0.156
"SV7_2","DabA",0.476202,"2021",3882.59894599989,0.000122650319186486,"SVERDRUP",5,"75.77286667",-83.12563333,8.18,0.68,0.06,2.06,0,0.417565446,32.03574651,387.9608853,0.74349286,8.397579144,2021,9.27,0.77,0.184
"SV7_2","DabB",0.034875,"2021",3882.59894599989,8.98238537769412e-06,"SVERDRUP",5,"75.77286667",-83.12563333,8.18,0.68,0.06,2.06,0,0.417565446,32.03574651,387.9608853,0.74349286,8.397579144,2021,9.27,0.77,0.184
"SV7_2","DabC",0.305089,"2021",3882.59894599989,7.85785511826615e-05,"SVERDRUP",5,"75.77286667",-83.12563333,8.18,0.68,0.06,2.06,0,0.417565446,32.03574651,387.9608853,0.74349286,8.397579144,2021,9.27,0.77,0.184
"SV7_2","DabD",0.058185,"2021",3882.59894599989,1.49860958623981e-05,"SVERDRUP",5,"75.77286667",-83.12563333,8.18,0.68,0.06,2.06,0,0.417565446,32.03574651,387.9608853,0.74349286,8.397579144,2021,9.27,0.77,0.184
"TA7_2","DabA",0,"2021",102.690258,0,"TALBOT",15,"77.94948333",-78.13116667,2.85,0.43,0.01,0.88,0.18,-0.60208582,31.34924307,397.3567469,1.433385702,0.383650148,2021,13.42,0.47,0.129
"TA7_2","DabB",0,"2021",102.690258,0,"TALBOT",15,"77.94948333",-78.13116667,2.85,0.43,0.01,0.88,0.18,-0.60208582,31.34924307,397.3567469,1.433385702,0.383650148,2021,13.42,0.47,0.129
"TA7_2","DabC",0,"2021",102.690258,0,"TALBOT",15,"77.94948333",-78.13116667,2.85,0.43,0.01,0.88,0.18,-0.60208582,31.34924307,397.3567469,1.433385702,0.383650148,2021,13.42,0.47,0.129
"TA7_2","DabD",0,"2021",102.690258,0,"TALBOT",15,"77.94948333",-78.13116667,2.85,0.43,0.01,0.88,0.18,-0.60208582,31.34924307,397.3567469,1.433385702,0.383650148,2021,13.42,0.47,0.129
"TA7_3","DabA",0,"2021",58.001214,0,"TALBOT",5,"77.94948333",-78.13116667,3.19,0.33,0.01,0.28,0,-0.143421294,30.09188276,395.0973791,2.125327502,0.560845137,2021,NA,NA,NA
"TA7_3","DabB",0,"2021",58.001214,0,"TALBOT",5,"77.94948333",-78.13116667,3.19,0.33,0.01,0.28,0,-0.143421294,30.09188276,395.0973791,2.125327502,0.560845137,2021,NA,NA,NA
"TA7_3","DabC",0,"2021",58.001214,0,"TALBOT",5,"77.94948333",-78.13116667,3.19,0.33,0.01,0.28,0,-0.143421294,30.09188276,395.0973791,2.125327502,0.560845137,2021,NA,NA,NA
"TA7_3","DabD",0,"2021",58.001214,0,"TALBOT",5,"77.94948333",-78.13116667,3.19,0.33,0.01,0.28,0,-0.143421294,30.09188276,395.0973791,2.125327502,0.560845137,2021,NA,NA,NA
"SSW","DabA",0.0011435,"2021",72.5701950000001,0,"STATION_OG",5,NA,NA,1.57,0.42,0.04,0.22,0.23,2.58977318,31.0710169,358.269372,0.28344727,0.13052188,2021,8.82,0.45,0.156
"SSW","DabB",0,"2021",72.5701950000001,0,"STATION_OG",5,NA,NA,1.57,0.42,0.04,0.22,0.23,2.58977318,31.0710169,358.269372,0.28344727,0.13052188,2021,8.82,0.45,0.156
"SSW","DabC",0.018693,"2021",72.5701950000001,0.000373913836114123,"STATION_OG",5,NA,NA,1.57,0.42,0.04,0.22,0.23,2.58977318,31.0710169,358.269372,0.28344727,0.13052188,2021,8.82,0.45,0.156
"SSW","DabD",0.0006665,"2021",72.5701950000001,1.8368422463244e-05,"STATION_OG",5,NA,NA,1.57,0.42,0.04,0.22,0.23,2.58977318,31.0710169,358.269372,0.28344727,0.13052188,2021,8.82,0.45,0.156
